epi,step,reward,alpha,temporal
407,208384,-4104.892645823398,0.3088573217391968,0.8
408,208896,-3364.7881923939085,0.3099830746650696,0.8
409,209408,-3105.1179338812626,0.309616357088089,0.8
410,209920,-1940.85515610684,0.31021401286125183,0.8
411,210432,-2050.755681939531,0.31080326437950134,0.8
412,210944,-3386.5064276313074,0.3103203773498535,0.8
413,211456,-2532.778687257824,0.30819910764694214,0.8
414,211968,-2304.562329500967,0.3079180121421814,0.8
415,212480,-4904.426260246567,0.3078823983669281,0.8
416,212992,-1876.1542263152708,0.308492511510849,0.8
417,213504,-2265.9922809983073,0.3070240914821625,0.8
418,214016,-4882.198396779533,0.3063892424106598,0.8
419,214528,-13445.736204413568,0.30856236815452576,0.8
420,215040,-3258.0438707290928,0.30732589960098267,0.8
421,215552,-2705.594876080497,0.3096080720424652,0.8
422,216064,-3989.378065934835,0.30634552240371704,0.8
423,216576,-8104.561507688011,0.3062613904476166,0.8
424,217088,-10717.447387094604,0.30776816606521606,0.8
425,217600,-2360.506104444506,0.3083782494068146,0.8
426,218112,-3685.8428749390478,0.30849969387054443,0.8
427,218624,-1833.4376393780026,0.30585673451423645,0.8
428,219136,-4258.856049789816,0.30793824791908264,0.8
429,219648,-1668.7285591008974,0.305334210395813,0.8
430,220160,-7274.151997383364,0.3078787326812744,0.8
431,220672,-9095.81698442554,0.3073427081108093,0.8
432,221184,-5218.854607570742,0.3081859350204468,0.8
433,221696,-3823.785254208027,0.30756592750549316,0.8
434,222208,-18865.69054233502,0.3069349229335785,0.8
435,222720,-2868.1398074081003,0.3085780441761017,0.8
436,223232,-2051.2293885667095,0.30964118242263794,0.8
437,223744,-4650.538399208483,0.30928757786750793,0.8
438,224256,-2156.991195145797,0.3090234398841858,0.8
439,224768,-2090.3755044512395,0.3087348937988281,0.8
440,225280,-4416.017284230198,0.3087894320487976,0.8
441,225792,-3324.4286413632926,0.30954933166503906,0.8
442,226304,-4654.629706891464,0.3081161081790924,0.8
443,226816,-6891.209336607985,0.3095685541629791,0.8
444,227328,-2774.7757037226875,0.30785995721817017,0.8
445,227840,-1931.1026639896393,0.307908296585083,0.8
446,228352,-2656.3594233291965,0.30941998958587646,0.8
447,228864,-4543.960576143206,0.30931612849235535,0.8
448,229376,-2590.1192580889497,0.30723685026168823,0.8
449,229888,-4755.80173700334,0.3085697889328003,0.8
450,230400,-1577.6461393983238,0.3090565800666809,0.8
451,230912,-1864.9050439900413,0.30803486704826355,0.8
452,231424,-2452.943594727591,0.30703240633010864,0.8
453,231936,-3369.868089550346,0.30781692266464233,0.8
454,232448,-10337.796689243434,0.30787113308906555,0.8
455,232960,-10717.178250622112,0.306659996509552,0.8
456,233472,-6906.142506452433,0.3080565631389618,0.8
457,233984,-4625.17863733826,0.30691346526145935,0.8
458,234496,-3697.8910454319525,0.3056643009185791,0.8
459,235008,-11191.840758220991,0.30557650327682495,0.8
460,235520,-5569.974306575214,0.3068639039993286,0.8
461,236032,-1993.4760302681375,0.30622610449790955,0.8
462,236544,-2887.9237030775075,0.30579787492752075,0.8
463,237056,-8158.7225628659135,0.3062252700328827,0.8
464,237568,-6451.897094814756,0.3060568869113922,0.8
465,238080,-7328.055657358464,0.3071996867656708,0.8
466,238592,-5620.596814879027,0.3055359721183777,0.8
467,239104,-4516.281596185889,0.3061184883117676,0.8
468,239616,-3798.417397753837,0.30687281489372253,0.8
469,240128,-1493.7628803894938,0.3053623139858246,0.8
470,240640,-4027.5309296136697,0.3067866265773773,0.8
471,241152,-2568.3959742880284,0.3055827021598816,0.8
472,241664,-9714.13688411529,0.305433452129364,0.8
473,242176,-3269.601356903387,0.3064459562301636,0.8
474,242688,-6154.346454290993,0.3056776225566864,0.8
475,243200,-3782.6906753627777,0.3060930073261261,0.8
476,243712,-6674.903151391148,0.3052597939968109,0.8
477,244224,-3328.6920185361537,0.3033061921596527,0.8
478,244736,-2585.48315699861,0.3041428029537201,0.8
479,245248,-2515.695125153984,0.30354729294776917,0.8
480,245760,-2331.8085037812834,0.3057754933834076,0.8
481,246272,-4189.956689440543,0.30418825149536133,0.8
482,246784,-7610.851179477551,0.304665207862854,0.8
483,247296,-8121.2730321037425,0.3058350086212158,0.8
484,247808,-3674.6701314442053,0.30530020594596863,0.8
485,248320,-2350.3044455912736,0.30604827404022217,0.8
486,248832,-2337.704837236404,0.3042733371257782,0.8
487,249344,-2020.1175439037236,0.30422091484069824,0.8
488,249856,-2170.2780693454956,0.30378690361976624,0.8
489,250368,-4129.198618052284,0.3045136630535126,0.8
490,250880,-6498.346909485669,0.30425480008125305,0.8
491,251392,-3057.1991618352004,0.3054903745651245,0.8
492,251904,-2494.078186597324,0.3040713667869568,0.8
493,252416,-3467.434361326181,0.3044622540473938,0.8
494,252928,-9172.011342619959,0.30510181188583374,0.8
495,253440,-7798.972983093148,0.3046208620071411,0.8
496,253952,-2092.9288690593626,0.30435898900032043,0.8
497,254464,-3204.7281051931172,0.3053254187107086,0.8
498,254976,-5318.129021460499,0.3053797781467438,0.8
499,255488,-8204.946291815622,0.3047581613063812,0.8
500,256000,-4480.498142709555,0.30507799983024597,0.8
501,256512,-1943.1349379260646,0.3036128282546997,0.8
502,257024,-1895.2065970995884,0.30349990725517273,0.8
503,257536,-1597.8856328263964,0.3022000193595886,0.8
504,258048,-11243.40528901372,0.303801029920578,0.8
505,258560,-2251.102309799729,0.30216193199157715,0.8
506,259072,-7610.132410037856,0.3035692572593689,0.8
507,259584,-3854.008498069673,0.30502817034721375,0.8
508,260096,-2109.176483713033,0.30268594622612,0.8
509,260608,-4139.4865052115765,0.302287757396698,0.8
510,261120,-6476.241633684539,0.30366408824920654,0.8
511,261632,-1658.823838300557,0.30309534072875977,0.8
